intent,model,expected_slice_type,predicted_slice_type,slice_match,policy_status
"Create a slice to support video journalists transmitting live footage from a downtown area, allowing up to 40 devices with downstream rates of 120 Mbps per device and a packet delay budget of 15 ms to keep streams smooth.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Provision a slice for a university campus event where attendees will upload and stream media, targeting uplink rates of 50 Mbps per device and downstream rates of 100 Mbps with latency capped at 20 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Set up a slice for a shopping mall to improve customer mobile experience, supporting 300 devices with downstream speeds of 80 Mbps per device and a packet delay budget of 25 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Deploy a slice for a media production crew using AR headsets, requiring downstream throughput of 300 Mbps per device and latency not exceeding 10 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Establish a slice for commuters in a busy train station, optimized for high-capacity browsing with support for 500 devices and downstream rates of 60 Mbps per device.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Create a slice for a sports arena during live matches, prioritizing user experience with 150 Mbps downstream per device and packet delay budget of 15 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Provision a slice for an outdoor music festival where attendees share video clips, allowing up to 800 devices with uplink rates of 40 Mbps per device.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Design a slice for a business district to support cloud-based applications, targeting 100 Mbps downstream per device and latency around 20 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Deploy a slice for a convention center hosting tech demos, supporting 200 devices with 200 Mbps downstream rates and packet delay budget of 10 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Create a slice to enhance mobile broadband along a highway corridor, ensuring downstream speeds of 90 Mbps per device and latency below 30 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Provision a slice for a public square with heavy social media usage, supporting 600 devices and uplink rates of 35 Mbps per device.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Establish a slice for corporate offices using cloud desktops, with 120 Mbps downstream per device and packet delay budget of 15 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Set up a slice for remote training sessions using VR, requiring 500 Mbps downstream per device and latency capped at 8 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Create a slice for a harbor area supporting logistics staff tablets, allowing 150 devices with downstream rates of 70 Mbps.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Deploy a slice for tourists in a historical district, optimized for media consumption with 80 Mbps downstream per device and 25 ms latency.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Provision a slice for a TV broadcast van zone, prioritizing uplink capacity of 200 Mbps per device and packet delay budget of 12 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Establish a slice for co-working spaces, supporting 250 devices with downstream speeds of 100 Mbps per device.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Create a slice for a retail analytics platform using video feeds, requiring 150 Mbps downstream and latency below 20 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Deploy a slice for mobile gaming users in a city park, targeting 120 Mbps downstream per device and 10 ms latency.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Provision a slice for financial traders on the move, with 90 Mbps downstream per device and packet delay budget of 10 ms.",claude-opus-4-5,eMBB,eMBB,True,Policy created successfully
"Create a slice to control autonomous delivery robots in an industrial zone, requiring packet delay budget of 3 ms and uplink rates of 20 Mbps per device.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Provision a slice for drone traffic management, supporting 60 devices with latency capped at 5 ms and downstream rates of 30 Mbps.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Establish a slice for automated guided vehicles in a factory, prioritizing ultra-low latency of 2 ms and uplink throughput of 25 Mbps.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Deploy a slice for remote crane operation at a port, requiring 1 ms packet delay budget and 50 Mbps downstream per device.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Create a slice for railway signaling systems, supporting 120 devices with latency not exceeding 4 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Provision a slice for emergency response vehicle coordination, targeting uplink rates of 40 Mbps and latency under 5 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Establish a slice for robotic assembly lines, requiring downstream rates of 60 Mbps per device and packet delay budget of 3 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Deploy a slice for power grid protection relays, supporting 300 devices with latency capped at 4 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Create a slice for autonomous bus control systems, allowing 80 devices with latency below 5 ms and uplink rates of 30 Mbps.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Provision a slice for real-time traffic light coordination, requiring 10 Mbps uplink per device and packet delay budget of 6 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Establish a slice for remote medical equipment monitoring, prioritizing latency of 5 ms and downstream rates of 25 Mbps.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Deploy a slice for collaborative industrial robots, supporting 50 devices with latency capped at 2 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Create a slice for precision agriculture machinery control, requiring uplink rates of 20 Mbps and packet delay budget of 7 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Provision a slice for automated warehouse sorting systems, allowing 150 devices with latency under 5 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Establish a slice for tunnel safety systems, supporting 400 devices with latency capped at 6 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Deploy a slice for real-time video feedback in remote inspections, requiring 80 Mbps downstream per device and latency of 5 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Create a slice for autonomous mining vehicles, allowing 70 devices with packet delay budget of 4 ms.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
"Provision a slice for industrial motion control networks, requiring latency not exceeding 2 ms and uplink rates of 15 Mbps.",claude-opus-4-5,uRRLC,uRRLC,True,Policy created successfully
